molecule_chembl_id,pIC50,smile,ROMol
CHEMBL29197,10.6,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x00000255BB173820>
CHEMBL417478,9.8,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255AC927040>
CHEMBL31815,9.38,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255AC9270B0>
CHEMBL28418,9.12,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1,<rdkit.Chem.rdchem.Mol object at 0x00000255AC927350>
CHEMBL31373,9.12,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255AC927120>
CHEMBL31816,9.02,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x00000255AC927200>
CHEMBL27688,8.82,C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cc1OCCCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255AC927270>
CHEMBL32079,8.77,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCCCO,<rdkit.Chem.rdchem.Mol object at 0x00000255AC9272E0>
CHEMBL32844,8.77,C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCN1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255AC9274A0>
CHEMBL281543,8.57,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1CCCCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F430>
CHEMBL286343,8.52,C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F510>
CHEMBL7917,8.22,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F7B0>
CHEMBL266995,8.1,Oc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F820>
CHEMBL14699,8.0,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F5F0>
CHEMBL554,8.0,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F580>
CHEMBL31630,7.7,C=CC(=O)N(C)c1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F6D0>
CHEMBL440453,7.42,COc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F900>
CHEMBL7866,7.19,COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F660>
CHEMBL15202,7.17,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F9E0>
CHEMBL14627,7.13,O=C(NCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FA50>
CHEMBL15346,7.13,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FAC0>
CHEMBL31965,7.13,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FBA0>
CHEMBL540701,7.1,C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FCF0>
CHEMBL7827,7.02,O=c1c(-c2cccc(Cl)c2)coc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86F890>
CHEMBL14932,7.01,Oc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FC10>
CHEMBL286160,7.0,COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FE40>
CHEMBL24137,7.0,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FD60>
CHEMBL14952,6.98,CS(=O)(=O)CCNCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FB30>
CHEMBL29641,6.9,COc1cc2ncnc(Nc3cccc(SC)c3)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FC80>
CHEMBL9470,6.86,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FDD0>
CHEMBL7819,6.77,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(C)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FF90>
CHEMBL24979,6.7,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FEB0>
CHEMBL26641,6.7,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCNCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BD86FF20>
CHEMBL283088,6.7,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7120>
CHEMBL24828,6.7,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7190>
CHEMBL273789,6.58,CS(=O)(=O)CCN(CCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(=O)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7200>
CHEMBL268868,6.52,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC72E0>
