molecule_chembl_id,type,value,units,pchembl_value
CHEMBL35820,IC50,0.006,nM,11.22
CHEMBL66031,IC50,0.008,nM,11.1
CHEMBL53753,IC50,0.008,nM,11.1
CHEMBL176582,IC50,0.01,nM,11.0
CHEMBL29197,IC50,0.025,nM,10.6
CHEMBL174426,IC50,0.025,nM,10.6
CHEMBL1243316,IC50,0.03,nM,10.52
CHEMBL3613702,IC50,0.037,nM,10.43
CHEMBL363815,IC50,0.037,nM,10.43
CHEMBL4100860,Ki,0.07,nM,10.15
CHEMBL275762,IC50,0.07,nM,10.15
CHEMBL327307,IC50,0.072,nM,10.14
CHEMBL53428,IC50,0.09,nM,10.05
CHEMBL4760328,IC50,0.1,nM,10.0
CHEMBL55729,IC50,0.1,nM,10.0
CHEMBL4784258,IC50,0.1,nM,10.0
CHEMBL4748367,IC50,0.1,nM,10.0
CHEMBL4759003,IC50,0.1,nM,10.0
CHEMBL4742081,IC50,0.1,nM,10.0
CHEMBL4778248,IC50,0.1,nM,10.0
CHEMBL420624,IC50,0.1,nM,10.0
CHEMBL4787951,IC50,0.1,nM,10.0
CHEMBL190094,IC50,0.11,nM,9.96
CHEMBL3930620,IC50,0.12,nM,9.92
CHEMBL328216,IC50,0.12,nM,9.92
CHEMBL193160,IC50,0.12,nM,9.92
CHEMBL51853,IC50,0.13,nM,9.89
CHEMBL3892310,IC50,0.13,nM,9.89
CHEMBL54400,IC50,0.13,nM,9.89
CHEMBL3883534,Ki,0.14,nM,9.85
CHEMBL417478,IC50,0.16,nM,9.8
CHEMBL4792967,IC50,0.17,nM,9.77
CHEMBL418967,IC50,0.17,nM,9.77
CHEMBL93032,IC50,0.17,nM,9.77
CHEMBL592617,IC50,0.17,nM,9.77
CHEMBL2031302,IC50,0.18,nM,9.74
CHEMBL3910697,IC50,0.18,nM,9.74
CHEMBL4761468,IC50,0.18,nM,9.74
CHEMBL166093,IC50,0.18,nM,9.74
CHEMBL166154,IC50,0.19,nM,9.72
CHEMBL165864,IC50,0.19,nM,9.72
CHEMBL4776396,IC50,0.2,nM,9.7
CHEMBL4175024,IC50,0.2,nM,9.7
CHEMBL4164805,IC50,0.2,nM,9.7
CHEMBL3753235,IC50,0.2,nM,9.7
CHEMBL4747958,IC50,0.2,nM,9.7
CHEMBL437879,IC50,0.208,nM,9.68
CHEMBL161956,IC50,0.22,nM,9.66
CHEMBL4516232,IC50,0.22,nM,9.66
CHEMBL4439982,IC50,0.22,nM,9.66
CHEMBL4527121,IC50,0.22,nM,9.66
CHEMBL4473277,IC50,0.22,nM,9.66
CHEMBL4540138,IC50,0.22,nM,9.66
CHEMBL4560430,IC50,0.22,nM,9.66
CHEMBL4851176,IC50,0.23,nM,9.64
CHEMBL2031300,IC50,0.23,nM,9.64
CHEMBL127041,IC50,0.24,nM,9.62
CHEMBL316064,IC50,0.24,nM,9.62
CHEMBL4862351,IC50,0.2446,nM,9.61
CHEMBL328955,IC50,0.25,nM,9.6
CHEMBL52913,IC50,0.25,nM,9.6
CHEMBL53426,IC50,0.25,nM,9.6
CHEMBL4796010,IC50,0.26,nM,9.59
CHEMBL3360608,IC50,0.26,nM,9.59
CHEMBL2031298,IC50,0.27,nM,9.57
CHEMBL3929484,IC50,0.27,nM,9.57
CHEMBL2031303,IC50,0.27,nM,9.57
CHEMBL152905,IC50,0.27,nM,9.57
CHEMBL128468,IC50,0.28,nM,9.55
CHEMBL2031297,IC50,0.28,nM,9.55
CHEMBL355816,IC50,0.28,nM,9.55
CHEMBL2031305,IC50,0.29,nM,9.54
CHEMBL426580,IC50,0.29,nM,9.54
CHEMBL2029438,IC50,0.29,nM,9.54
CHEMBL3917026,IC50,0.3,nM,9.52
CHEMBL4439338,IC50,0.3,nM,9.52
CHEMBL4785569,IC50,0.3,nM,9.52
CHEMBL4078431,IC50,0.3,nM,9.52
CHEMBL4743998,IC50,0.3,nM,9.52
CHEMBL3544983,IC50,0.3,nM,9.52
CHEMBL3357644,IC50,0.3,nM,9.52
CHEMBL4748320,IC50,0.3,nM,9.52
CHEMBL4290812,IC50,0.3,nM,9.52
CHEMBL4787816,IC50,0.3,nM,9.52
CHEMBL4740573,IC50,0.3,nM,9.52
CHEMBL203644,IC50,0.3,nM,9.52
CHEMBL2029436,IC50,0.3,nM,9.52
CHEMBL3360603,IC50,0.31,nM,9.51
CHEMBL3355877,IC50,0.32,nM,9.49
CHEMBL4873506,IC50,0.32,nM,9.49
CHEMBL3360606,IC50,0.32,nM,9.49
CHEMBL3360619,IC50,0.33,nM,9.48
CHEMBL366580,IC50,0.34,nM,9.47
CHEMBL3965262,IC50,0.34,nM,9.47
CHEMBL91980,IC50,0.35,nM,9.46
CHEMBL4860398,IC50,0.35,nM,9.46
CHEMBL163369,IC50,0.35,nM,9.46
CHEMBL4098072,Ki,0.35,nM,9.46
CHEMBL603266,IC50,0.36,nM,9.44
CHEMBL3360618,IC50,0.37,nM,9.43
CHEMBL4540303,IC50,0.37,nmol/L,9.43
CHEMBL599863,IC50,0.37,nM,9.43
CHEMBL3895468,IC50,0.37,nM,9.43
CHEMBL39320,IC50,0.37,nM,9.43
CHEMBL2029434,IC50,0.38,nM,9.42
CHEMBL2447950,IC50,0.38,nM,9.42
CHEMBL4858583,IC50,0.39,nM,9.41
CHEMBL4757806,IC50,0.4,nM,9.4
CHEMBL4282543,IC50,0.4,nM,9.4
CHEMBL4112924,IC50,0.4,nM,9.4
CHEMBL51741,IC50,0.4,nM,9.4
CHEMBL3901622,IC50,0.4,nM,9.4
CHEMBL3759317,IC50,0.4,nM,9.4
CHEMBL4784777,IC50,0.4,nM,9.4
CHEMBL4793053,IC50,0.4,nM,9.4
CHEMBL4783569,IC50,0.4,nM,9.4
CHEMBL4795296,IC50,0.4,nM,9.4
CHEMBL1204199,IC50,0.41,nM,9.39
CHEMBL2029429,IC50,0.41,nM,9.39
CHEMBL31815,IC50,0.42,nM,9.38
CHEMBL188762,IC50,0.43,nM,9.37
CHEMBL2029428,IC50,0.43,nM,9.37
CHEMBL39337,IC50,0.44,nM,9.36
CHEMBL351629,IC50,0.44,nM,9.36
CHEMBL40734,IC50,0.44,nM,9.36
CHEMBL162821,IC50,0.45,nM,9.35
CHEMBL304271,IC50,0.00045,uM,9.35
CHEMBL443523,IC50,0.45,nM,9.35
CHEMBL3906546,IC50,0.46,nM,9.34
CHEMBL3818015,IC50,0.47,nM,9.33
CHEMBL539822,IC50,0.47,nM,9.33
CHEMBL3360609,IC50,0.47,nM,9.33
CHEMBL3355875,IC50,0.47,nM,9.33
CHEMBL4868614,IC50,0.473,nM,9.32
CHEMBL3926191,IC50,0.48,nM,9.32
CHEMBL54088,IC50,0.48,nM,9.32
CHEMBL3360617,IC50,0.49,nM,9.31
CHEMBL3355881,IC50,0.49,nM,9.31
CHEMBL2021576,IC50,0.49,nM,9.31
CHEMBL3355882,IC50,0.5,nM,9.3
CHEMBL4071474,IC50,0.5,nM,9.3
CHEMBL4776751,IC50,0.5,nM,9.3
CHEMBL203599,IC50,0.5,nM,9.3
CHEMBL4763315,IC50,0.5,nM,9.3
CHEMBL3758770,IC50,0.5,nM,9.3
CHEMBL4080720,IC50,0.5,nM,9.3
CHEMBL3758582,IC50,0.5,nM,9.3
CHEMBL2021575,IC50,0.5,nM,9.3
CHEMBL3633145,IC50,0.5,nM,9.3
CHEMBL4792577,IC50,0.5,nM,9.3
CHEMBL4786776,IC50,0.5,nM,9.3
CHEMBL2347958,IC50,0.5,nM,9.3
CHEMBL3355876,IC50,0.51,nM,9.29
CHEMBL3901296,IC50,0.51,nM,9.29
CHEMBL2031304,IC50,0.51,nM,9.29
CHEMBL126791,IC50,0.51,nM,9.29
CHEMBL2031299,IC50,0.51,nM,9.29
CHEMBL3360604,IC50,0.52,nM,9.28
CHEMBL3355889,IC50,0.53,nM,9.28
CHEMBL4852664,IC50,0.52,nM,9.28
CHEMBL49986,IC50,0.54,nM,9.27
CHEMBL4110258,IC50,0.54,nM,9.27
CHEMBL4859375,IC50,0.5379999999999999,nM,9.27
CHEMBL3360611,IC50,0.54,nM,9.27
CHEMBL165547,IC50,0.56,nM,9.25
CHEMBL3355880,IC50,0.56,nM,9.25
CHEMBL2029435,IC50,0.58,nM,9.24
CHEMBL3360610,IC50,0.57,nM,9.24
CHEMBL1243254,IC50,0.57,nM,9.24
CHEMBL4454516,IC50,0.5872,nM,9.23
CHEMBL4562352,IC50,0.6,nM,9.22
CHEMBL4749862,IC50,0.6,nM,9.22
CHEMBL4170121,IC50,0.6,nM,9.22
CHEMBL4741922,IC50,0.6,nM,9.22
CHEMBL4285217,IC50,0.6,nM,9.22
CHEMBL4789027,IC50,0.6,nM,9.22
CHEMBL3891846,IC50,0.6,nM,9.22
CHEMBL4282954,IC50,0.6,nM,9.22
CHEMBL4746770,IC50,0.6,nM,9.22
CHEMBL378144,IC50,0.6,nM,9.22
CHEMBL127086,IC50,0.61,nM,9.21
CHEMBL3890068,IC50,0.63,nM,9.2
CHEMBL162622,IC50,0.65,nM,9.19
CHEMBL3920583,IC50,0.65,nM,9.19
CHEMBL1204262,IC50,0.64,nM,9.19
CHEMBL3360607,IC50,0.65,nM,9.19
CHEMBL3954175,IC50,0.66,nM,9.18
CHEMBL3355878,IC50,0.66,nM,9.18
CHEMBL1204168,IC50,0.66,nM,9.18
CHEMBL3814257,IC50,0.662,nM,9.18
CHEMBL2031307,IC50,0.68,nM,9.17
CHEMBL2437462,IC50,0.677,nM,9.17
CHEMBL3357636,IC50,0.67,nM,9.17
CHEMBL317925,IC50,0.67,nM,9.17
CHEMBL4473875,IC50,0.69,nM,9.16
CHEMBL4471491,IC50,0.69,nmol/L,9.16
CHEMBL92937,IC50,0.69,nM,9.16
CHEMBL3957055,IC50,0.69,nM,9.16
CHEMBL280757,IC50,0.69,nM,9.16
CHEMBL4294211,IC50,0.7,nM,9.15
CHEMBL4279016,IC50,0.7,nM,9.15
CHEMBL4284071,IC50,0.71,nM,9.15
CHEMBL3909201,IC50,0.7,nM,9.15
CHEMBL4293145,IC50,0.7,nM,9.15
CHEMBL3940089,IC50,0.7,nM,9.15
CHEMBL4128567,IC50,0.7,nM,9.15
CHEMBL4287401,IC50,0.7,nM,9.15
CHEMBL4744798,IC50,0.7,nM,9.15
CHEMBL4751641,IC50,0.7,nM,9.15
CHEMBL4778894,IC50,0.7,nM,9.15
CHEMBL4759127,IC50,0.7,nM,9.15
CHEMBL54091,IC50,0.72,nM,9.14
CHEMBL3977729,IC50,0.72,nM,9.14
CHEMBL289213,IC50,0.72,nM,9.14
