,molecule_chembl_id,pchembl_value,smiles,ROMol,MW,HBA,HBD,LogP,rule_of_five_conform
0,CHEMBL2386094,10.89,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCOCC2)CC3)=C1c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000021AD33CA200>,514.165248056,6,1,3.361600000000002,yes
1,CHEMBL3895998,10.0,Nc1ncc(-c2ccccc2F)nc1C(=O)Nc1cnccc1N1CCC(N)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD33CA9E0>,407.18698654400004,7,3,2.4397,yes
2,CHEMBL4084855,10.0,COc1ccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)[C@H](C)C2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD33D4B30>,392.196074008,8,0,1.9609999999999996,yes
3,CHEMBL564450,9.85,COc1cc(C2=C(c3cn(CCN4CCN(C)CC4)c4ccccc34)C(=O)NC2=O)c2occc2c1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD33D4DD0>,484.21105537599993,7,1,3.210700000000001,yes
4,CHEMBL3957649,9.7,Nc1ncc(-c2ccccc2F)nc1C(=O)Nc1cnccc1N1CCNCC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD33DEC10>,393.17133648000004,7,3,1.9217999999999995,yes
5,CHEMBL4063206,9.7,COc1cccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)[C@H](C)C2)c1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD2223E40>,392.196074008,8,0,1.961,yes
6,CHEMBL2386090,9.7,O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)c2cnccn2)CC3)=C1c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000021AD334C510>,489.14370408800005,7,1,3.4007000000000014,yes
7,CHEMBL4077376,9.7,C[C@@H]1CN(c2ccccc2F)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000021AD334CC10>,380.17608751200004,7,0,2.0915,yes
8,CHEMBL3942619,9.7,COc1ccc(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCC(N)CC3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD334C6D0>,419.2069730400001,8,3,2.3091999999999997,yes
9,CHEMBL3963605,9.7,Nc1ncc(-c2ccccc2)nc1C(=O)Nc1cnccc1N1CCC(N)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD334CB30>,389.19640835600006,7,3,2.3006,yes
10,CHEMBL2177173,9.66,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cnccc4CN4CCCC4)n3)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD334C820>,536.2318078840001,9,2,1.9049999999999996,yes
11,CHEMBL491647,9.64,COCc1cccc2c(C3=C(c4coc5ccccc45)C(=O)NC3=O)cn(C)c12,<rdkit.Chem.rdchem.Mol object at 0x0000021AD334CEB0>,386.126657056,5,1,3.6381000000000023,yes
12,CHEMBL3091542,9.64,COc1cccc(OC)c1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD334C740>,409.175004216,9,0,1.8323999999999998,yes
13,CHEMBL4076186,9.6,COc1cc(F)ccc1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD334CC80>,396.17100213200007,8,1,1.5358999999999994,yes
14,CHEMBL3410091,9.54,NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD334C190>,358.109961436,6,2,2.441300000000001,yes
15,CHEMBL181031,9.52,O=C1NC(=O)C(c2cnc3cccnn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,<rdkit.Chem.rdchem.Mol object at 0x0000021AD334CCF0>,495.20188766000007,7,1,2.6727000000000007,yes
