,molecule_chembl_id,pIC50,smile,ROMol,MW,HBA,HBD,LogP,rule_of_five_conform
0,CHEMBL35820,11.22,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,<rdkit.Chem.rdchem.Mol object at 0x000001D6965F7E40>,387.05823891599994,5,1,4.933300000000004,yes
1,CHEMBL66031,11.1,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D6965F7EB0>,339.01195742000004,4,2,4.012200000000001,yes
2,CHEMBL53753,11.1,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F270>,329.02760748400004,5,2,3.572600000000002,yes
3,CHEMBL176582,11.0,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F2E0>,353.027607484,5,1,4.0226000000000015,yes
4,CHEMBL29197,10.6,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F350>,359.02693878799994,5,1,4.153100000000003,yes
5,CHEMBL174426,10.6,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F3C0>,353.02760748400004,5,1,4.022600000000002,yes
6,CHEMBL1243316,10.52,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F430>,477.13678081200004,6,3,4.758780000000003,yes
7,CHEMBL3613702,10.43,C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F580>,376.029394552,4,2,4.943800000000001,yes
8,CHEMBL363815,10.43,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F5F0>,376.029394552,4,2,4.943800000000002,yes
9,CHEMBL4100860,10.15,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(CCCO)nc3-c3ccc(F)cc3)ccn2)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F660>,487.201967912,6,4,5.079400000000004,yes
10,CHEMBL275762,10.15,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F6D0>,397.9904222,4,2,4.996600000000002,yes
11,CHEMBL327307,10.14,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F740>,436.937450856,5,1,4.915600000000003,yes
12,CHEMBL53428,10.05,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F7B0>,343.04325754800004,5,1,3.5969000000000015,yes
13,CHEMBL4760328,10.0,CCOc1ccccc1-c1cc2c(N[C@H](CCO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F820>,388.1899260080001,5,3,4.559200000000003,yes
14,CHEMBL55729,10.0,Nc1ccc2cncnc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F890>,145.063997224,3,1,1.212,yes
15,CHEMBL4784258,10.0,COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F900>,474.27432432800003,7,3,3.772400000000002,yes
16,CHEMBL4748367,10.0,CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1F,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F970>,448.2386877680001,6,4,3.5607000000000015,yes
17,CHEMBL4759003,10.0,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F9E0>,444.26375964400006,6,3,4.457800000000003,yes
18,CHEMBL4742081,10.0,COc1cc(CNCCN2CCNCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FA50>,501.2852233600001,8,5,2.7737999999999996,yes
19,CHEMBL4778248,10.0,COc1cc(CNCCN2CCCCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FAC0>,500.28997439200003,7,4,4.3545000000000025,yes
20,CHEMBL420624,10.0,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FB30>,314.01670845200005,4,2,3.7181000000000015,yes
