chembl_id_ligand,smiles,activity_type
CHEMBL356850,Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,Active
CHEMBL126384,Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,Active
CHEMBL126623,Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,Active
CHEMBL126791,Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,Active
CHEMBL128987,Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,Active
CHEMBL338114,Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,Active
CHEMBL3806143,Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,Active
CHEMBL36967,Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,Active
CHEMBL40734,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,Active
CHEMBL66031,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,Active
CHEMBL39337,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,Active
CHEMBL172652,Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,Active
CHEMBL447331,Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,Active
CHEMBL2087359,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,Active
CHEMBL1198370,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,Active
CHEMBL2087355,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,Active
CHEMBL2087356,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,Active
CHEMBL2087357,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,Active
CHEMBL93051,Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,Active
CHEMBL40130,Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,Active
CHEMBL39355,Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,Active
CHEMBL38199,Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,Active
CHEMBL366580,Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,Active
CHEMBL63786,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,Active
CHEMBL173498,Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,Active
CHEMBL424093,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,Active
CHEMBL2425736,Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,Active
CHEMBL153170,Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,Active
CHEMBL153525,Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,Active
CHEMBL290096,Brc1cccc(Nc2ncnc3ccccc23)c1,Active
CHEMBL272895,Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,Active
CHEMBL271334,Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,Active
CHEMBL272865,Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,Active
CHEMBL405398,Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,Active
CHEMBL272187,Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,Active
CHEMBL345294,Brc1cccc(Nc2ncnc3ccsc23)c1,Active
CHEMBL165574,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,Active
CHEMBL417420,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,Active
CHEMBL162981,Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,Active
CHEMBL51228,Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,Active
CHEMBL162622,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,Active
CHEMBL294475,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,Active
CHEMBL162142,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,Active
CHEMBL53426,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,Active
CHEMBL162223,Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,Active
CHEMBL271328,Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,Active
CHEMBL165508,Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,Active
CHEMBL4171764,Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,Active
CHEMBL378144,C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,Active
CHEMBL202360,C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,Active
CHEMBL592216,C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,Active
CHEMBL592713,C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,Active
CHEMBL3786812,C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,Active
CHEMBL1243316,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,Active
CHEMBL597949,C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,Active
CHEMBL597948,C#CCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,Active
CHEMBL3787386,C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,Active
CHEMBL4790568,C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,Active
CHEMBL65250,C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,Active
CHEMBL598798,C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,Active
CHEMBL3416629,C#Cc1cccc(N2C(=O)Nc3c(C(=O)Nc4ccc(CN5CCCC5)cc4)sc4ncnc2c34)c1,Active
CHEMBL4637274,C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,Active
CHEMBL1092250,C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,Active
CHEMBL1089203,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,Active
CHEMBL3297892,C#Cc1cccc(Nc2nc(C)nc3oc(C)cc23)c1,Active
CHEMBL3678948,C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,Active
CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,Active
CHEMBL3805509,C#Cc1cccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)c1,Active
CHEMBL3622674,C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CN(C)C4CC4)cc23)c1,Active
CHEMBL3622672,C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CN4CCCCC4)cc23)c1,Active
CHEMBL3622677,C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)/C=C/CNC4CC4)cc23)c1,Active
CHEMBL599398,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCC(=O)NO)cc23)c1,Active
CHEMBL598164,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCC(=O)NO)cc23)c1,Active
CHEMBL598797,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,Active
CHEMBL3355882,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,Active
CHEMBL3355881,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,Active
CHEMBL3355880,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCn4ccnc4[N+](=O)[O-])cc23)c1,Active
CHEMBL3355879,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCn4ccnc4[N+](=O)[O-])cc23)c1,Active
CHEMBL3805236,C#Cc1cccc(Nc2ncnc3cc(OC)c4c(c23)OCCO4)c1,Active
CHEMBL3622649,C#Cc1cccc(Nc2ncnc3cc(OC4CCN(C)CC4)c(NC(=O)/C=C/CN(C)C)cc23)c1,Active
CHEMBL3806170,C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)c1,Active
CHEMBL3622648,C#Cc1cccc(Nc2ncnc3cc(OC4CCOCC4)c(NC(=O)/C=C/CN(C)C)cc23)c1,Active
CHEMBL3622675,C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)/C=C/CN(C)C4CC4)cc23)c1,Active
CHEMBL3622673,C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)/C=C/CN4CCCCC4)cc23)c1,Active
